LECROYWP725Zi-A,67858,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:10:04,0                 
Time,Ampl
-2.32e-009,0
-2.22e-009,0
-2.12e-009,0
-2.02e-009,0
-1.92e-009,0
-1.82e-009,0
-1.72e-009,0
-1.62e-009,0
-1.52e-009,0
-1.42e-009,0
-1.32e-009,0
-1.22e-009,0
-1.12e-009,0
-1.02e-009,0
-9.2e-010,0
-8.2e-010,1
-7.2e-010,24
-6.2e-010,8
-5.2e-010,4
-4.2e-010,7
-3.2e-010,4
-2.2e-010,6
-1.2e-010,4
-2e-011,4
8e-011,5
1.8e-010,7
2.8e-010,10
3.8e-010,7
4.8e-010,5
5.8e-010,4
6.8e-010,6
7.8e-010,4
8.8e-010,9
9.8e-010,10
1.08e-009,6
1.18e-009,9
1.28e-009,10
1.38e-009,6
1.48e-009,8
1.58e-009,9
1.68e-009,4
1.78e-009,4
1.88e-009,5
1.98e-009,13
2.08e-009,7
2.18e-009,6
2.28e-009,7
2.38e-009,8
2.48e-009,4
2.58e-009,7
2.68e-009,15
2.78e-009,18
2.88e-009,12
2.98e-009,8
3.08e-009,20
3.18e-009,13
3.28e-009,15
3.38e-009,15
3.48e-009,16
3.58e-009,18
3.68e-009,12
3.78e-009,13
3.88e-009,20
3.98e-009,21
4.08e-009,17
4.18e-009,21
4.28e-009,17
4.38e-009,31
4.48e-009,21
4.58e-009,51
4.68e-009,40
4.78e-009,40
4.88e-009,34
4.98e-009,39
5.08e-009,47
5.18e-009,41
5.28e-009,38
5.38e-009,31
5.48e-009,26
5.58e-009,18
5.68e-009,9
5.78e-009,7
5.88e-009,5
5.98e-009,6
6.08e-009,1
6.18e-009,0
6.28e-009,2
6.38e-009,0
6.48e-009,0
6.58e-009,0
6.68e-009,0
6.78e-009,0
6.88e-009,0
6.98e-009,0
7.08e-009,0
7.18e-009,0
7.28e-009,0
7.38e-009,0
7.48e-009,0
7.58e-009,0
