LECROYWP725Zi-A,67858,Histogram,
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1,
#1,01-Jan-2009 01:10:04,0,
Time,Ampl,Time,
-2.32E-09,0,-2.32E-09,
-2.22E-09,0,-2.22E-09,
-2.12E-09,0,-2.12E-09,
-2.02E-09,0,-2.02E-09,
-1.92E-09,0,-1.92E-09,
-1.82E-09,0,-1.82E-09,
-1.72E-09,0,-1.72E-09,
-1.62E-09,0,-1.62E-09,
-1.52E-09,0,-1.52E-09,
-1.42E-09,0,-1.42E-09,
-1.32E-09,0,-1.32E-09,
-1.22E-09,0,-1.22E-09,
-1.12E-09,0,-1.12E-09,
-1.02E-09,0,-1.02E-09,
-9.20E-10,0,-9.20E-10,
-8.20E-10,3,-8.20E-10,
-7.20E-10,18,-7.20E-10,
-6.20E-10,8,-6.20E-10,
-5.20E-10,10,-5.20E-10,
-4.20E-10,1,-4.20E-10,
-3.20E-10,5,-3.20E-10,
-2.20E-10,7,-2.20E-10,
-1.20E-10,5,-1.20E-10,
-2.00E-11,6,-2.00E-11,
8.00E-11,8,8.00E-11,
1.80E-10,3,1.80E-10,
2.80E-10,3,2.80E-10,
3.80E-10,6,3.80E-10,
4.80E-10,5,4.80E-10,
5.80E-10,4,5.80E-10,
6.80E-10,5,6.80E-10,
7.80E-10,6,7.80E-10,
8.80E-10,2,8.80E-10,
9.80E-10,8,9.80E-10,
1.08E-09,5,1.08E-09,
1.18E-09,4,1.18E-09,
1.28E-09,3,1.28E-09,
1.38E-09,2,1.38E-09,
1.48E-09,5,1.48E-09,
1.58E-09,6,1.58E-09,
1.68E-09,9,1.68E-09,
1.78E-09,4,1.78E-09,
1.88E-09,8,1.88E-09,
1.98E-09,8,1.98E-09,
2.08E-09,2,2.08E-09,
2.18E-09,4,2.18E-09,
2.28E-09,8,2.28E-09,
2.38E-09,8,2.38E-09,
2.48E-09,7,2.48E-09,
2.58E-09,12,2.58E-09,
2.68E-09,10,2.68E-09,
2.78E-09,14,2.78E-09,
2.88E-09,11,2.88E-09,
2.98E-09,13,2.98E-09,
3.08E-09,15,3.08E-09,
3.18E-09,11,3.18E-09,
3.28E-09,6,3.28E-09,
3.38E-09,10,3.38E-09,
3.48E-09,19,3.48E-09,
3.58E-09,16,3.58E-09,
3.68E-09,15,3.68E-09,
3.78E-09,18,3.78E-09,
3.88E-09,27,3.88E-09,
3.98E-09,19,3.98E-09,
4.08E-09,27,4.08E-09,
4.18E-09,31,4.18E-09,
4.28E-09,34,4.28E-09,
4.38E-09,27,4.38E-09,
4.48E-09,39,4.48E-09,
4.58E-09,28,4.58E-09,
4.68E-09,42,4.68E-09,
4.78E-09,43,4.78E-09,
4.88E-09,42,4.88E-09,
4.98E-09,50,4.98E-09,
5.08E-09,45,5.08E-09,
5.18E-09,46,5.18E-09,
5.28E-09,45,5.28E-09,
5.38E-09,38,5.38E-09,
5.48E-09,11,5.48E-09,
5.58E-09,11,5.58E-09,
5.68E-09,8,5.68E-09,
5.78E-09,10,5.78E-09,
5.88E-09,6,5.88E-09,
5.98E-09,3,5.98E-09,
6.08E-09,2,6.08E-09,
6.18E-09,0,6.18E-09,
6.28E-09,0,6.28E-09,
6.38E-09,0,6.38E-09,
6.48E-09,0,6.48E-09,
6.58E-09,0,6.58E-09,
6.68E-09,0,6.68E-09,
6.78E-09,0,6.78E-09,
6.88E-09,0,6.88E-09,
6.98E-09,0,6.98E-09,
7.08E-09,0,7.08E-09,
7.18E-09,0,7.18E-09,
7.28E-09,0,7.28E-09,
7.38E-09,0,7.38E-09,
7.48E-09,0,7.48E-09,
7.58E-09,0,7.58E-09,
